"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"C1,C2","2","1u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3","1","1n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4,C6,C7,C9,C11,C15,C16,C18,C21","9","100n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5,C20","2","100p","","","","Capacitor_SMD:C_0805_2012Metric",""
"C8,C17","2","10u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C10,C12,C13,C14,C19","5","22u","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1,D2","2","LED","","","","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm",""
"F1","1","5A","","","","avionics:Fuse_2410_6127Metric",""
"J1,J2","2","U.FL-R-SMT-1(10)","","","","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical",""
"JP1","1","GPS_RST","","","","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"JP2","1","LORA_RST","","","","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"J_POWER1","1","XT60","","","","Connector_AMASS:AMASS_XT60-F_1x02_P7.20mm_Vertical",""
"J_PYRO1,J_PYRO2","2","IGNITER_5R6","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"L1","1","10uH","","","","Inductor_SMD:L_Changjiang_FXL1050",""
"Q1,Q2,Q3,Q4","4","IRLR8726","","","","Package_TO_SOT_SMD:TO-252-2",""
"R1,R2","2","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"R3,R15","2","330k","","","","Resistor_SMD:R_0805_2012Metric",""
"R4,R16","2","68k","","","","Resistor_SMD:R_0805_2012Metric",""
"R5","1","180k","","","","Resistor_SMD:R_0805_2012Metric",""
"R6,R9,R17,R19","4","100","","","","Resistor_SMD:R_0805_2012Metric",""
"R7,R10,R13,R18,R20","5","100k","","","","Resistor_SMD:R_0805_2012Metric",""
"R8","1","30k","","","","Resistor_SMD:R_0805_2012Metric",""
"R11","1","150k","","","","Resistor_SMD:R_0805_2012Metric",""
"R12","1","1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R14","1","33k","","","","Resistor_SMD:R_0805_2012Metric",""
"R21,R22,R23,R24","4","4.7k","","","","Resistor_SMD:R_0805_2012Metric",""
"R25,R26","2","220","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1","1","ARM","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"U1","1","Adafruit_LSM6DSO32","","","","avionics:LSM6DSOX","https://learn.adafruit.com/lsm6dsox-and-ism330dhc-6-dof-imu"
"U2","1","Sparkfun_H3LIS331DL","","","","avionics:Sparkfun_H3LIS331DL",""
"U3","1","Adafruit_MPC3315A2","","","","avionics:Adafruit_MPC3315A2",""
"U4","1","Teensy4.1","","","","avionics:Teensy41",""
"U5","1","LIS3MDL","","","","avionics:Adafruit_LIS3MDL","https://learn.adafruit.com/lis3mdl-triple-axis-magnetometer"
"U6","1","NEO-M9N-00B","","","","easyeda2kicad:GPSM-SMD_24P-L16.0-W12.2-P1.10-BL","https://www.lcsc.com/datasheet/C5119087.pdf"
"U7","1","SX1262S9S+T-X1","","","","easyeda2kicad:WIRELM-SMD_SX1278S165SY-T-X1","https://lcsc.com/product-detail/Wireless-Modules_Vollgo-SX1262S9S-T-X1_C718839.html"
"U8","1","MCP1825S-5002","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://ww1.microchip.com/downloads/en/devicedoc/22056b.pdf"
"U9","1","AP63200WU-7","","","","Package_TO_SOT_SMD:TSOT-23-6","https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf"
"U10","1","AP2210K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2210.pdf"
