Comment,Designator,Footprint,LCSC Part #
1u,"C1,C2",C_0805_2012Metric,C28323
1n,C3,C_0805_2012Metric,C1791
100n,"C4,C6,C7,C9,C11,C15,C16,C18,C21",C_0805_2012Metric,C49678
100p,"C5,C20",C_0805_2012Metric,C1790
10u,"C8,C17",C_0805_2012Metric,C15850
22u,"C10,C12,C13,C14,C19",C_0805_2012Metric,C45783
5A,F1,Fuse_2410_6127Metric,C178993
U.FL-R-SMT-1(10),"J1,J2",U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88373
10uH,L1,L_Changjiang_FXL1050,C5359264
IRLR8726,"Q1,Q2,Q3,Q4",TO-252-2,C5350860
10k,"R1,R2",R_0805_2012Metric,C17414
330k,"R3,R15",R_0805_2012Metric,C17629
68k,"R4,R16",R_0805_2012Metric,C17801
180k,R5,R_0805_2012Metric,C17501
100,"R6,R9,R17,R19",R_0805_2012Metric,C17408
100k,"R7,R10,R13,R18,R20",R_0805_2012Metric,C149504
30k,R8,R_0805_2012Metric,C17621
150k,R11,R_0805_2012Metric,C17470
1k,R12,R_0805_2012Metric,C17513
33k,R14,R_0805_2012Metric,C17633
4.7k,"R21,R22,R23,R24",R_0805_2012Metric,C17673
220,"R25,R26",R_0805_2012Metric,C17557
NEO-M9N-00B,U6,GPSM-SMD_24P-L16.0-W12.2-P1.10-BL,C5119087
SX1262S9S+T-X1,U7,WIRELM-SMD_SX1278S165SY-T-X1,C718839
AP63200WU-7,U9,TSOT-23-6,C2071868
AP2210K-3.3,U10,SOT-23-5,C176959
