Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C2",0805,2,1u,C28323
"C10, C12, C13, C14, C19",0805,5,22u,C45783
"C11, C15, C16, C18, C21, C4, C6, C7, C9",0805,9,100n,C49678
"C17, C8",0805,2,10u,C15850
"C20, C5",0805,2,100p,C1790
C3,0805,1,1n,C1791
"D1, D2",LED_D1.8mm_W3.3mm_H2.4mm,2,LED,
F1,2410,1,5A,C178993
"J1, J2",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,U.FL-R-SMT-1(10),C88373
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,GPS_RST,
JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,LORA_RST,
J_POWER1,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,XT60,
"J_PYRO1, J_PYRO2",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,2,IGNITER_5R6,
L1,L_Changjiang_FXL1050,1,10uH,C5359264
"Q1, Q2, Q3, Q4",TO-252-2,4,IRLR8726,C5350860
"R1, R2",0805,2,10k,C17414
"R10, R13, R18, R20, R7",0805,5,100k,C149504
R11,0805,1,150k,C17470
R12,0805,1,1k,C17513
R14,0805,1,33k,C17633
"R15, R3",0805,2,330k,C17629
"R16, R4",0805,2,68k,C17801
"R17, R19, R6, R9",0805,4,100,C17408
"R21, R22, R23, R24",0805,4,4.7k,C17673
"R25, R26",0805,2,220,C17557
R5,0805,1,180k,C17501
R8,0805,1,30k,C17621
SW1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,ARM,
U1,LSM6DSOX,1,Adafruit_LSM6DSO32,
U10,SOT-23-5,1,AP2210K-3.3,C176959
U2,Sparkfun_H3LIS331DL,1,Sparkfun_H3LIS331DL,
U3,Adafruit_MPC3315A2,1,Adafruit_MPC3315A2,
U4,Teensy41,1,Teensy4.1,
U5,Adafruit_LIS3MDL,1,LIS3MDL,
U6,GPSM-SMD_24P-L16.0-W12.2-P1.10-BL,1,NEO-M9N-00B,C5119087
U7,WIRELM-SMD_SX1278S165SY-T-X1,1,SX1262S9S+T-X1,C718839
U8,SOT-223-3_TabPin2,1,MCP1825S-5002,
U9,TSOT-23-6,1,AP63200WU-7,C2071868
