Designator,Mid X,Mid Y,Rotation,Layer
BZ1,175.214,-117.317,180.0,top
C1,154.255,-67.285,0.0,top
C10,167.755,-103.785,270.0,top
C11,182.755,-80.285,0.0,top
C12,182.755,-83.285,0.0,top
C13,159.805,-90.285,180.0,top
C14,159.805,-87.275,180.0,top
C15,178.562,-70.2564,90.0,top
C16,179.305,-94.74125,180.0,top
C17,179.255,-96.74125,180.0,top
C18,173.305,-108.285,180.0,top
C19,173.305,-106.275,180.0,top
C2,167.305,-110.785,0.0,top
C20,174.255,-97.79125,90.0,top
C21,191.0,-103.0,0.0,top
C3,167.305,-113.285,0.0,top
C4,178.255,-86.785,0.0,top
C5,178.255,-89.795,0.0,top
C6,199.5,-103.0,0.0,top
C7,159.505,-94.035,180.0,top
C8,159.505,-96.535,180.0,top
C9,169.755,-103.785,270.0,top
D1,165.5638,-67.321,0.0,top
D2,165.5638,-71.9328,0.0,top
F1,211.005,-86.785,270.0,top
J1,141.23,-65.785,90.0,top
J2,163.265,-122.961,270.0,top
JP1,146.755,-66.785,0.0,top
JP2,143.658,-117.881,0.0,top
J_POWER1,194.255,-74.785,90.0,top
J_PYRO1,209.755,-110.977,90.0,top
J_PYRO2,209.755,-98.285,90.0,top
L1,167.755,-83.285,180.0,top
Q1,190.255,-117.35,270.0,top
Q2,199.035,-117.35,270.0,top
Q3,190.255,-88.545,90.0,top
Q4,198.975,-88.545,90.0,top
R1,143.6745,-112.801,0.0,top
R10,197.255,-108.285,270.0,top
R11,182.596,-70.2564,90.0,top
R12,180.596,-70.2564,270.0,top
R13,180.255,-99.74125,270.0,top
R14,184.6072,-70.2564,90.0,top
R15,192.0275,-97.5125,0.0,top
R16,192.0275,-99.5445,180.0,top
R17,188.321,-99.5465,180.0,top
R18,188.321,-97.5125,0.0,top
R19,197.585,-97.285,90.0,top
R2,143.6675,-115.087,180.0,top
R20,200.535,-97.285,90.0,top
R21,104.0384,-82.8548,0.0,top
R22,107.7976,-82.9056,0.0,top
R23,120.9529,-82.9564,180.0,top
R24,117.4985,-82.9564,180.0,top
R25,170.2308,-68.0212,0.0,top
R26,170.2308,-70.9712,0.0,top
R3,192.035,-108.31,180.0,top
R4,192.035,-106.31,0.0,top
R5,168.3795,-91.028,0.0,top
R6,188.4475,-106.285,0.0,top
R7,188.4475,-108.285,180.0,top
R8,173.255,-91.285,0.0,top
R9,200.205,-108.285,270.0,top
SW1,209.755,-75.535,90.0,top
U1,128.255,-113.1405,180.0,top
U10,175.6175,-101.79125,0.0,top
U2,104.755,-114.285,180.0,top
U3,101.7684,-72.175586,0.0,top
U4,124.08,-93.25,0.0,top
U5,124.6419,-72.6416,180.0,top
U6,147.255,-75.785,90.0,top
U7,155.255,-111.785,180.0,top
U8,165.505,-96.535,270.0,top
U9,178.3925,-83.235,0.0,top
